published_date,notice_number,council,trade_name,suburb,address,postcode,date_alleged_offence,offence_code,offence_description,offence_circumstances,party_served_company,party_served_given_name,party_served_surname,penalty_amount,penalty_issued_by,penalty_date_served,updated_date,scrape_timestamp_utc,date_removed_from_website
2024-10-08,3275144557,CANTERBURY-BANKSTOWN,DHAKA DELIGHT,LAKEMBA,33 RAILWAY PARADE,2195,2024-06-27,11339,Fail to comply with Food Standards Code - Corporation,Fail to maintain the food premises to the required standard of cleanliness - Pevious warnings given,KHUSHBOO SWEETS AND RESTAURANT PTY LTD,,,880,Canterbury Bankstown Council,2024-07-04,2024-10-08,2024-10-08 20:45:07,
2024-10-08,3275144566,CANTERBURY-BANKSTOWN,DHAKA DELIGHT,LAKEMBA,33 RAILWAY PARADE,2195,2024-06-27,11339,Fail to comply with Food Standards Code - Corporation,Fail to display potentially hazardous food under temperature control,KHUSHBOO SWEETS AND RESTAURANT PTY LTD,,,880,Canterbury Bankstown Council,2024-07-04,2024-10-08,2024-10-08 20:45:07,
2024-10-08,3145246913,CITY OF PARRAMATTA,SPICES OF INDIA PARRAMATTA,PARRAMATTA,113 CHURCH STREET,2150,2024-07-03,11339,Fail to comply with Food Standards Code - Corporation,Fail to take all practicable measures to eradicate and prevent the harbourage of pests - Previous warnings given,KASTURI INVESTMENTS PTY LTD,,,880,City of Parramatta Council,2024-07-04,2024-10-08,2024-10-08 20:45:07,
2024-10-08,3273275529,CUMBERLAND,STAR INDIA CUISINE,PENDLE HILL,114 PENDLE WAY,2145,2024-05-22,11339,Fail to comply with Food Standards Code - Corporation,Fail to store food in such a way that it is protected from the likelihood of contamination - Previous warnings given,STAR INDIA CUISINE PTY LTD,,,880,Cumberland City Council,2024-07-02,2024-10-08,2024-10-08 20:45:07,
2024-10-08,3273275538,CUMBERLAND,STAR INDIA CUISINE,PENDLE HILL,114 PENDLE WAY,2145,2024-05-22,11339,Fail to comply with Food Standards Code - Corporation,Fail to take all practicable measures to eradicate and prevent the harbourage of pests - Previous warnings given,STAR INDIA CUISINE PTY LTD,,,880,Cumberland City Council,2024-07-02,2024-10-08,2024-10-08 20:45:07,
2024-10-08,3276341970,LIVERPOOL,OMER BIRYANI HOUSE,LIVERPOOL,197 GEORGE STREET,2170,2024-07-16,11339,Fail to comply with Food Standards Code - Corporation,Fail to maintain at or near each hand washing facility a supply of - single use hand towels or other means to dry hands.,GENA INTERNATIONAL PTY LTD,,,880,Liverpool City Council,2024-07-19,2024-10-08,2024-10-08 20:45:07,
2024-10-08,3276341980,LIVERPOOL,OMER BIRYANI HOUSE,LIVERPOOL,197 GEORGE STREET,2170,2024-07-16,11339,Fail to comply with Food Standards Code - Corporation,"Fail to maintain the food premises to the required standard of cleanliness - visible food waste, dirt, grease, and other visible matter",GENA INTERNATIONAL PTY LTD,,,880,Liverpool City Council,2024-07-19,2024-10-08,2024-10-08 20:45:07,
2024-10-08,3276341999,LIVERPOOL,OMER BIRYANI HOUSE,LIVERPOOL,197 GEORGE STREET,2170,2024-07-16,11339,Fail to comply with Food Standards Code - Corporation,Fail to store food in such a way that it is protected from the likelihood of contamination,GENA INTERNATIONAL PTY LTD,,,880,Liverpool City Council,2024-07-19,2024-10-08,2024-10-08 20:45:07,
2024-10-08,3274583557,NORTH SYDNEY,ZINGER TAJ,MCMAHONS POINT,147 BLUES POINT ROAD,2060,2024-07-30,11339,Fail to comply with Food Standards Code - Corporation,"Fail to ensure hand washing facilities are only used for the washing of hands, arms and face - Previous warnings given",BOBKAR HOLDINGS PTY LTD,,,880,North Sydney Council,2024-08-02,2024-10-08,2024-10-08 20:45:07,
2024-10-08,3175751150,PENRITH,STARBUCKS NORTH PENRITH,PENRITH,2229-2231 CASTLEREAGH ROAD,2750,2024-07-30,11339,Fail to comply with Food Standards Code - Corporation,Fail to display potentially hazardous food under temperature control,STARBUCKS COFFEE AUSTRALIA PTY LTD,,,880,Penrith City Council,2024-08-23,2024-10-08,2024-10-08 20:45:07,
2024-10-01,3120324424,BLACKTOWN,LUCKY NUMBERS JUICE BAR,MOUNT DRUITT,49 NORTH PARADE,2148,2024-06-05,11339,Fail to comply with Food Standards Code - Corporation,Fail to maintain at or near each hand washing facility a supply of - soap or single use towels,LUCKY NUMBERS GROUP PTY LTD,,,880,Blacktown City Council,2024-06-28,2024-10-01,2024-10-01 04:42:53,
2024-10-01,3161229776,CITY OF SYDNEY,SPOTTED COW COOKIES,ALEXANDRIA,7-9 RALPH STREET,2015,2023-11-16,11339,Fail to comply with Food Standards Code - Corporation,Fail to maintain the food premises to the required standard of cleanliness,THE SPOTTED COW COOKIE CO AUSTRALIA PTY LTD,,,880,NSW Food Authority,2024-06-24,2024-10-01,2024-10-01 04:42:53,
2024-10-01,3161229785,CITY OF SYDNEY,SPOTTED COW COOKIES,ALEXANDRIA,7-9 RALPH STREET,2015,2023-11-16,11339,Fail to comply with Food Standards Code - Corporation,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness",THE SPOTTED COW COOKIE CO AUSTRALIA PTY LTD,,,880,NSW Food Authority,2024-06-24,2024-10-01,2024-10-01 04:42:53,
2024-10-01,3161229794,CITY OF SYDNEY,SPOTTED COW COOKIES,ALEXANDRIA,7-9 RALPH STREET,2015,2023-11-16,11339,Fail to comply with Food Standards Code - Corporation,Fail to take all practicable measures to prevent pests entering the food premises - Fail to take all practicable measures to eradicate and prevent the harbourage of pests,THE SPOTTED COW COOKIE CO AUSTRALIA PTY LTD,,,880,NSW Food Authority,2024-06-24,2024-10-01,2024-10-01 04:42:53,
2024-10-01,3164673005,KU-RING-GAI,BABYCCINO LINDFIELD,LINDFIELD,317 PACIFIC HIGHWAY,2070,2024-08-15,11339,Fail to comply with Food Standards Code - Corporation,Fail to maintain the food premises to the required standard of cleanliness - Previous warning given,HM AND Y PTY LTD,,,880,Ku-ring-gai Council,2024-08-16,2024-10-01,2024-10-01 04:42:53,
2024-10-01,3247454751,RYDE,AN VIET,EASTWOOD,"SHOP 10, 1 GLEN STREET",2122,2024-08-12,11339,Fail to comply with Food Standards Code - Corporation,Fail to store potentially hazardous food under temperature control - Previous warnings given,AN VIET EASTWOOD PTY LTD,,,880,City of Ryde,2024-08-26,2024-10-01,2024-10-01 04:42:53,
2024-10-01,3257335162,THE HILLS,HARVEST BOWL,CASTLE HILL,SHOP 52/ 16 VICTORIA AVENUE,2154,2024-08-27,11339,Fail to comply with Food Standards Code - Corporation,Fail to take all practicable measures to eradicate and prevent the harbourage of pests,HB CASTLE HILL PTY LTD,,,880,The Hills Shire Council,2024-08-28,2024-10-01,2024-10-01 04:42:53,
2024-10-01,3268866050,WAVERLEY,WOOLWORTHS,BONDI,139-143 BONDI ROAD,2026,2024-08-07,11339,Fail to comply with Food Standards Code - Corporation,Fail to maintain at or near each hand washing facility a supply of - warm running water,WOOLWORTHS GROUP LIMITED,,,880,Waverley Council,2024-08-29,2024-10-01,2024-10-01 04:42:53,
2024-09-24,3120329686,BLACKTOWN,PETU,SCHOFIELDS,227 RAILWAY TERRACE,2762,2023-10-30,11339,Fail to comply with Food Standards Code - Corporation,Fail to store food in such a way that it is protected from the likelihood of contamination,DHAN LAKSHMEE PTY LTD,,,880,Blacktown City Council,2024-02-09,2024-09-24,2024-09-24 04:38:03,
2024-09-24,3120324415,BLACKTOWN,JAGGI S INDIAN EATERY SEVEN HILLS,SEVEN HILLS,31 BOOMERANG PLACE,2147,2024-06-05,11339,Fail to comply with Food Standards Code - Corporation,Fail to store food in such a way that it is protected from the likelihood of contamination,JAGGI'S 457 CATERING SERVICES PTY LTD,,,880,Blacktown City Council,2024-06-28,2024-09-24,2024-09-24 04:38:03,
2024-09-24,3271113102,BURWOOD,1915 LANZHOU BEEF NOODLES,BURWOOD,168A BURWOOD ROAD,2134,2024-07-01,11339,Fail to comply with Food Standards Code - Corporation,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness",YILAN GROUP NO1 PTY LTD,,,880,Burwood Council,2024-07-03,2024-09-24,2024-09-24 04:38:03,
2024-09-24,3271113111,BURWOOD,1915 LANZHOU BEEF NOODLES,BURWOOD,168A BURWOOD ROAD,2134,2024-07-01,11339,Fail to comply with Food Standards Code - Corporation,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness",YILAN GROUP NO1 PTY LTD,,,880,Burwood Council,2024-07-03,2024-09-24,2024-09-24 04:38:03,
2024-09-24,3271113120,BURWOOD,1915 LANZHOU BEEF NOODLES,BURWOOD,168A BURWOOD ROAD,2134,2024-07-01,11339,Fail to comply with Food Standards Code - Corporation,"Fail to maintain premises, fixtures, fittings, and equipment in a good state of repair and working order having regard to their use",YILAN GROUP NO1 PTY LTD,,,880,Burwood Council,2024-07-03,2024-09-24,2024-09-24 04:38:03,
2024-09-24,3271097060,BURWOOD,D PENYETZ AND D CENDOL,BURWOOD,183C BURWOOD ROAD,2134,2024-07-05,11339,Fail to comply with Food Standards Code - Corporation,Fail to maintain the food premises to the required standard of cleanliness,JC JOY PTY LTD,,,880,Burwood Council,2024-07-26,2024-09-24,2024-09-24 04:38:03,
2024-09-24,3271107840,BURWOOD,MASTER CHEN NORTH EAST CHINESE,BURWOOD,175 BURWOOD ROAD,2134,2024-08-05,11359,Fail to comply with a prohibition order - Corporation,Fail to comply with a prohibition order,YGC GROUP PTY LTD,,,1540,Burwood Council,2024-08-08,2024-09-24,2024-09-24 04:38:03,
2024-09-24,3274583575,NORTH SYDNEY,RESTAURANT TOSHIYA,CREMORNE,"SHOP 1, 283 MILITARY ROAD",2090,2024-08-09,11339,Fail to comply with Food Standards Code - Corporation,"Fail to maintain the food premises and all fixtures, fittings and equipment to the required standard of cleanliness - Previous warnings given",OCEAN FIELD PTY LTD,,,880,North Sydney Council,2024-08-19,2024-09-24,2024-09-24 04:38:03,
2024-09-24,3268193610,NORTH SYDNEY,JAGGI S INDIAN EATERY,NEUTRAL BAY,13 HAYES STREET,2089,2024-05-29,11339,Fail to comply with Food Standards Code - Corporation,Fail to maintain the food premises to the required standard of cleanliness - Previous warnings given,JAGGI'S 457 CATERING SERVICES PTY LTD,,,880,North Sydney Council,2024-06-24,2024-09-24,2024-09-24 04:38:03,
2024-09-24,3268193620,NORTH SYDNEY,JAGGI S INDIAN EATERY,NEUTRAL BAY,13 HAYES STREET,2089,2024-05-29,11339,Fail to comply with Food Standards Code - Corporation,Fail to maintain at or near each hand washing facility a supply of - warm running water,JAGGI'S 457 CATERING SERVICES PTY LTD,,,880,North Sydney Council,2024-06-24,2024-09-24,2024-09-24 04:38:03,
2024-09-24,3231985058,PORT STEPHENS,ANNA BAY HOT BREAD,ANNA BAY,"SHOP 7, 118 GAN GAN ROAD",2316,2024-06-12,11338,Fail to comply with Food Standards Code - Individual,Fail to ensure eating and drinking utensils and food contact surfaces of equipment is in a clean and sanitary condition,,VAN,LE,440,Port Stephens Council,2024-06-18,2024-09-24,2024-09-24 04:38:03,
2024-09-24,3257335153,THE HILLS,LILONG BY TASTE OF SHANGHAI,CASTLE HILL,"SHOP 2B-5 CASTLE TOWERS, 6-14 CASTLE STREET",2154,2024-06-17,11339,Fail to comply with Food Standards Code - Corporation,Fail to maintain the food premises to the required standard of cleanliness,DOUBLE SIX BUSINESS PARTNERS PTY LTD,,,880,The Hills Shire Council,2024-07-08,2024-09-24,2024-09-24 04:38:03,
2024-09-17,3120331886,BLACKTOWN,ZEEJAN INDIAN RESTAURANT N SWEETS,BLACKTOWN,166-168 MAIN STREET,2148,2024-06-06,11323,Sell food that is unsuitable - Corporation,Sale of food past its use-by date,ALI RANA GROUP PTY LTD,,,1320,Blacktown City Council,2024-06-14,2024-09-17,2024-09-17 05:11:14,
2024-09-17,3120331895,BLACKTOWN,ZEEJAN INDIAN RESTAURANT N SWEETS,BLACKTOWN,166-168 MAIN STREET,2148,2024-06-06,11339,Fail to comply with Food Standards Code - Corporation,Fail to maintain the food premises to the required standard of cleanliness,ALI RANA GROUP PTY LTD,,,880,Blacktown City Council,2024-06-14,2024-09-17,2024-09-17 05:11:14,
2024-09-17,3120324781,BLACKTOWN,THE IDLI PROJECT,GLENWOOD,601 SUNNYHOLT ROAD,2768,2024-08-16,11339,Fail to comply with Food Standards Code - Corporation,"Fail to maintain food premises and all fixtures, fittings and equipment to the required standard of cleanliness",FOOD BASE PTY LTD,,,880,Blacktown City Council,2024-08-16,2024-09-17,2024-09-17 05:11:14,
2024-09-17,3120331840,BLACKTOWN,HEBERSHAM TAKEAWAY,HEBERSHAM,16 WELWYN ROAD,2770,2024-05-27,23091,Not keep and produce for inspection copy of food safety supervisor certificate - Corporation,Fail to ensure copy of the food safety supervisor certificate is kept on the premises and produced for inspection on request by an authorised officer,VASUR PTY LTD,,,660,Blacktown City Council,2024-06-14,2024-09-17,2024-09-17 05:11:14,
2024-09-17,3120331877,BLACKTOWN,ELARA SUSHI,MARSDEN PARK,111 ELARA BOULEVARD,2765,2024-05-06,11339,Fail to comply with Food Standards Code - Corporation,Fail to display potentially hazardous food under temperature control,KONA CO PTY LTD,,,880,Blacktown City Council,2024-06-14,2024-09-17,2024-09-17 05:11:14,
2024-09-17,3120331868,BLACKTOWN,MAMA LOR RESTAURANT,ROOTY HILL,37 ROOTY HILL ROAD NORTH,2766,2024-05-08,11339,Fail to comply with Food Standards Code - Corporation,"Fail to maintain the food premises and all fixtures, fittings and equipment to the required standard of cleanliness",J K BROTHERS NSW PTY LTD,,,880,Blacktown City Council,2024-06-14,2024-09-17,2024-09-17 05:11:14,
2024-09-17,3271107878,BURWOOD,FRESH BEEF HOT POT,BURWOOD,165 BURWOOD ROAD,2134,2024-08-02,11339,Fail to comply with Food Standards Code - Corporation,Fail to store food in such a way that it is protected from the likelihood of contamination,BEEF LIFE BURWOOD NSW PTY LTD,,,880,Burwood Council,2024-08-12,2024-09-17,2024-09-17 05:11:14,
2024-09-17,3271096950,BURWOOD,LEUNG KAM KEE,BURWOOD,"SHOP 7, UNITY PLACE",2134,2024-07-01,11339,Fail to comply with Food Standards Code - Corporation,Fail to maintain the food premises to the required standard of cleanliness,D AND S FOOD ENTERPRISES PTY LTD,,,880,Burwood Council,2024-07-23,2024-09-17,2024-09-17 05:11:14,
2024-09-17,3271096960,BURWOOD,LEUNG KAM KEE,BURWOOD,"SHOP 7, UNITY PLACE",2134,2024-07-01,11339,Fail to comply with Food Standards Code - Corporation,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness",D AND S FOOD ENTERPRISES PTY LTD,,,880,Burwood Council,2024-07-23,2024-09-17,2024-09-17 05:11:14,
2024-09-17,3271096979,BURWOOD,LEUNG KAM KEE,BURWOOD,"SHOP 7, UNITY PLACE",2134,2024-07-01,11339,Fail to comply with Food Standards Code - Corporation,Fail to ensure food contact surfaces of equipment is in a clean and sanitary condition,D AND S FOOD ENTERPRISES PTY LTD,,,880,Burwood Council,2024-07-23,2024-09-17,2024-09-17 05:11:14,
2024-09-17,3271107676,BURWOOD,OH MY PHO,BURWOOD,"SHOP 12, 127-133 BURWOOD ROAD",2134,2024-07-17,11339,Fail to comply with Food Standards Code - Corporation,Fail to maintain easily accessible hand washing facilities on the food premises - Previous warning given,Q V ENTERPRISE PTY LTD,,,880,Burwood Council,2024-07-19,2024-09-17,2024-09-17 05:11:14,
2024-09-17,3271107685,BURWOOD,OH MY PHO,BURWOOD,"SHOP 12, 127-133 BURWOOD ROAD",2134,2024-07-17,11339,Fail to comply with Food Standards Code - Corporation,Fail to maintain the food premises to the required standard of cleanliness - Previous warning given,Q V ENTERPRISE PTY LTD,,,880,Burwood Council,2024-07-19,2024-09-17,2024-09-17 05:11:14,
2024-09-17,3275144548,CANTERBURY-BANKSTOWN,JASMINE 1,BANKSTOWN,222 SOUTH TERRACE,2200,2024-04-18,11339,Fail to comply with Food Standards Code - Corporation,Fail to take all practicable measures to ensure it only accepts food that is protected from the likelihood of contamination - Previous warnings given,JASMINE B BANKSTOWN PTY LTD,,,880,Canterbury Bankstown Council,2024-06-14,2024-09-17,2024-09-17 05:11:14,
2024-09-17,3271327759,CITY OF CANADA BAY,MORTLAKE OCEAN FOOD,CONCORD,1 GALE STREET,2137,2024-05-29,11359,Fail to comply with a prohibition order - Corporation,Fail to comply with a prohibition order,MORTLAKE OCEAN FOOD PTY LTD,,,1540,City of Canada Bay Council,2024-06-07,2024-09-17,2024-09-17 05:11:14,
2024-09-17,3271327740,CITY OF CANADA BAY,MORTLAKE OCEAN FOOD,CONCORD,1 GALE STREET,2137,2024-05-28,11359,Fail to comply with a prohibition order - Corporation,Fail to comply with a prohibition order,MORTLAKE OCEAN FOOD PTY LTD,,,1540,City of Canada Bay Council,2024-06-07,2024-09-17,2024-09-17 05:11:14,
2024-09-17,3271327730,CITY OF CANADA BAY,MORTLAKE OCEAN FOOD,CONCORD,1 GALE STREET,2137,2024-05-27,11359,Fail to comply with a prohibition order - Corporation,Fail to comply with a prohibition order,MORTLAKE OCEAN FOOD PTY LTD,,,1540,City of Canada Bay Council,2024-06-07,2024-09-17,2024-09-17 05:11:14,
2024-09-17,3271327721,CITY OF CANADA BAY,MORTLAKE OCEAN FOOD,CONCORD,1 GALE STREET,2137,2024-05-24,11359,Fail to comply with a prohibition order - Corporation,Fail to comply with a prohibition order,MORTLAKE OCEAN FOOD PTY LTD,,,1540,City of Canada Bay Council,2024-06-07,2024-09-17,2024-09-17 05:11:14,
2024-09-17,3271327703,CITY OF CANADA BAY,MORTLAKE OCEAN FOOD,CONCORD,1 GALE STREET,2137,2024-05-22,11339,Fail to comply with Food Standards Code - Corporation,Fail to store food in such a way that it is protected from the likelihood of contamination,MORTLAKE OCEAN FOOD PTY LTD,,,880,City of Canada Bay Council,2024-06-07,2024-09-17,2024-09-17 05:11:14,
2024-09-17,3271327712,CITY OF CANADA BAY,MORTLAKE OCEAN FOOD,CONCORD,1 GALE STREET,2137,2024-05-22,11339,Fail to comply with Food Standards Code - Corporation,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness",MORTLAKE OCEAN FOOD PTY LTD,,,880,City of Canada Bay Council,2024-06-07,2024-09-17,2024-09-17 05:11:14,
2024-09-17,3271327676,CITY OF CANADA BAY,MORTLAKE OCEAN FOOD,CONCORD,1 GALE STREET,2137,2024-05-14,11339,Fail to comply with Food Standards Code - Corporation,Fail to store food in such a way that it is protected from the likelihood of contamination,MORTLAKE OCEAN FOOD PTY LTD,,,880,City of Canada Bay Council,2024-06-07,2024-09-17,2024-09-17 05:11:14,
2024-09-17,3271327685,CITY OF CANADA BAY,MORTLAKE OCEAN FOOD,CONCORD,1 GALE STREET,2137,2024-05-14,11339,Fail to comply with Food Standards Code - Corporation,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness",MORTLAKE OCEAN FOOD PTY LTD,,,880,City of Canada Bay Council,2024-06-07,2024-09-17,2024-09-17 05:11:14,
2024-09-17,3271327694,CITY OF CANADA BAY,MORTLAKE OCEAN FOOD,CONCORD,1 GALE STREET,2137,2024-05-14,11339,Fail to comply with Food Standards Code - Corporation,Fail to ensure there is an adequate supply of water if water is to be used for any of the activities conducted on the food premises,MORTLAKE OCEAN FOOD PTY LTD,,,880,City of Canada Bay Council,2024-06-07,2024-09-17,2024-09-17 05:11:14,
2024-09-17,3271327667,CITY OF CANADA BAY,MORTLAKE OCEAN FOOD,CONCORD,1 GALE STREET,2137,2024-05-08,11339,Fail to comply with Food Standards Code - Corporation,Fail to ensure there is an adequate supply of water if water is to be used for any of the activities conducted on the food premises,MORTLAKE OCEAN FOOD PTY LTD,,,880,City of Canada Bay Council,2024-06-07,2024-09-17,2024-09-17 05:11:14,
2024-09-17,3271327630,CITY OF CANADA BAY,MORTLAKE OCEAN FOOD,CONCORD,1 GALE STREET,2137,2024-05-01,11339,Fail to comply with Food Standards Code - Corporation,Fail to ensure there is an adequate supply of water if water is to be used for any of the activities conducted on the food premises,MORTLAKE OCEAN FOOD PTY LTD,,,880,City of Canada Bay Council,2024-06-07,2024-09-17,2024-09-17 05:11:14,
2024-09-17,3271327649,CITY OF CANADA BAY,MORTLAKE OCEAN FOOD,CONCORD,1 GALE STREET,2137,2024-05-01,11339,Fail to comply with Food Standards Code - Corporation,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness",MORTLAKE OCEAN FOOD PTY LTD,,,880,City of Canada Bay Council,2024-06-07,2024-09-17,2024-09-17 05:11:14,
2024-09-17,3271327658,CITY OF CANADA BAY,MORTLAKE OCEAN FOOD,CONCORD,1 GALE STREET,2137,2024-05-01,11339,Fail to comply with Food Standards Code - Corporation,Fail to store food in such a way that it is protected from the likelihood of contamination,MORTLAKE OCEAN FOOD PTY LTD,,,880,City of Canada Bay Council,2024-06-07,2024-09-17,2024-09-17 05:11:14,
